Year,Locality,Suburb,State,Postcode,Employed,Unemployed
2016,Barrington (NSW) NSW 2422,Barrington,NSW,2422,147,3
2016,Barrington Tops NSW 2422,Barrington Tops,NSW,2422,0,0
2016,Barry (Blayney - NSW) NSW 2799,Barry,NSW,2799,76,11
2016,Barry (Upper Hunter Shire - NSW) NSW 2799,Barry,NSW,2799,0,0
2016,Barwang NSW 2594,Barwang,NSW,2594,49,0
2016,Barwon NSW 2396,Barwon,NSW,2396,5,0
2016,Baryulgil NSW 2460,Baryulgil,NSW,2460,19,3
2016,Basin View NSW 2540,Basin View,NSW,2540,574,47
2016,Bass Hill NSW 2197,Bass Hill,NSW,2197,3288,337
2016,Bassendean (NSW) NSW 2365,Bassendean,NSW,2365,0,0
2016,Batar Creek NSW 2439,Batar Creek,NSW,2439,24,0
2016,Bateau Bay NSW 2261,Bateau Bay,NSW,2261,5129,307
2016,Batehaven NSW 2536,Batehaven,NSW,2536,595,71
2016,Batemans Bay NSW 2536,Batemans Bay,NSW,2536,410,61
2016,Bathampton NSW 2795,Bathampton,NSW,2795,22,0
2016,Bathurst NSW 2795,Bathurst,NSW,2795,3162,273
2016,Batlow NSW 2730,Batlow,NSW,2730,546,30
2016,Baulkham Hills NSW 2153,Baulkham Hills,NSW,2153,18490,957
2016,Baw Baw (NSW) NSW 2580,Baw Baw,NSW,2580,115,0
2016,Bawley Point NSW 2539,Bawley Point,NSW,2539,254,28
2016,Baxters Ridge NSW 2422,Baxters Ridge,NSW,2422,0,0
2016,Bayview (NSW) NSW 2104,Bayview,NSW,2104,1443,56
2016,Beacon Hill NSW 2100,Beacon Hill,NSW,2100,3861,140
2016,Beaconsfield (NSW) NSW 2015,Beaconsfield,NSW,2015,671,10
2016,Bean Creek NSW 2469,Bean Creek,NSW,2469,22,0
2016,Bearbong NSW 2827,Bearbong,NSW,2827,33,0
2016,Beaumont (NSW) NSW 2577,Beaumont,NSW,2577,56,4
2016,Beaumont Hills NSW 2155,Beaumont Hills,NSW,2155,4721,209
2016,Beckom NSW 2665,Beckom,NSW,2665,63,3
2016,Bective NSW 2340,Bective,NSW,2340,108,3
2016,Bectric NSW 2665,Bectric,NSW,2665,21,0
2016,Bedgerabong NSW 2871,Bedgerabong,NSW,2871,68,8
2016,Beechwood NSW 2446,Beechwood,NSW,2446,243,19
2016,Beecroft NSW 2119,Beecroft,NSW,2119,4530,190
2016,Beecroft Peninsula NSW 2540,Beecroft Peninsula,NSW,2540,0,0
2016,Beelbangera NSW 2680,Beelbangera,NSW,2680,201,3
2016,Beemunnel NSW 2824,Beemunnel,NSW,2824,6,0
2016,Bega NSW 2550,Bega,NSW,2550,1848,126
2016,Beggan Beggan NSW 2587,Beggan Beggan,NSW,2587,54,0
2016,Belanglo NSW 2577,Belanglo,NSW,2577,11,0
2016,Belbora NSW 2422,Belbora,NSW,2422,56,0
2016,Belfield NSW 2191,Belfield,NSW,2191,2762,145
2016,Belford NSW 2335,Belford,NSW,2335,94,4
2016,Belfrayden NSW 2650,Belfrayden,NSW,2650,8,0
2016,Belgravia NSW 2800,Belgravia,NSW,2800,67,3
2016,Belimbla Park NSW 2570,Belimbla Park,NSW,2570,305,8
2016,Bell (NSW) NSW 2786,Bell,NSW,2786,13,0
2016,Bella Vista NSW 2153,Bella Vista,NSW,2153,4216,258
2016,Bellambi NSW 2518,Bellambi,NSW,2518,1470,166
